source,colA,colC,colB
DOC_CA_PSKUs,7T0010-220.SV0398N,Edge Trim Silver Vein,
DOC_CA_PSKUs,7T0011-220.TS0398N,Edge Trim Tibur Stone,
DOC_CA_PSKUs,7T0013-220.VM0398N,Edge Trim Vienna Mist,
DOC_CA_PSKUs,7T3000-320.WH0255N,White (Acrylic),
DOC_CA_PSKUs,7T3003-320.RS0255N,Roman Stone 12 x 18 (Acrylic),
DOC_CA_PSKUs,7T3003-320.RS0255N,Roman Stone 24 x 12 (Acrylic),
DOC_CA_PSKUs,7T3004-320.LN0255N,Linen (Acrylic),
DOC_CA_PSKUs,7T3005-320.SV0255N,Silver Vein (Acrylic),
DOC_CA_PSKUs,7T3006-320.TS0255N,Tibur Stone (Acrylic),
DOC_CA_PSKUs,7T3008-320.VM0255N,Vienna Mist (Acrylic),
DOC_CA_PSKUs,7T3201-240.CE4848N,Linen 12 x 18 Linen,
DOC_CA_PSKUs,7T3201-240.CE4848N,Linen 24 x 12 Linen,
DOC_CA_PSKUs,7T3202-240.GG4848N,Grey Beach,
DOC_CA_PSKUs,7T3203-240.WR4848N,White Reef,
DOC_CA_PSKUs,7T3302-301.ES0854N,Empire Stone 12x18,
DOC_CA_PSKUs,7T3302-301.ES0854N,Empire Stone 24x12,
DOC_CA_PSKUs,7T3303-301.CO0854N,Colosseum 12x18,
DOC_CA_PSKUs,7T3303-301.CO0854N,Colosseum 24x12,
DOC_CA_PSKUs,7T3304-301.PM0854N,Pisa Marble 12x18,
DOC_CA_PSKUs,7T3304-301.PM0854N,Pisa Marble 24x12,
DOC_CA_PSKUs,7T3305-301.MH0854N,Mining House 12x18,
DOC_CA_PSKUs,7T3305-301.MH0854N,Mining House 24x12,
DOC_CA_PSKUs,7U0006-220.TS4762N,Tibur Stone,
DOC_CA_PSKUs,7W0000-221.WH3898N,White 1 Moment Flat,
DOC_CA_PSKUs,7W0001-221.LN3898N,Linen 1 Moment Flat,
DOC_CA_PSKUs,7W0004-221.RS3898N,Roman Stone 1 American Standard Flat,
DOC_CA_PSKUs,7W0005-221.SV3898N,Silver Vein 1 American Standard Flat,
DOC_CA_PSKUs,7W0006-221.TS3898N,Tibur Stone 1 American Standard Flat,
DOC_CA_PSKUs,7W0008-221.VM3898N,Vienna Mist 1 American Standard Flat,
DOC_CA_PSKUs,7W0016-221.VM6298C,Vienna Mist 1 American Standard Flat,
DOC_CA_PSKUs,7W0038-221.WH6298N,VALUE SERIES WHITE ACRYLIC,
DOC_CA_PSKUs,7W0038-221.WH6298N,White 1 Moment Flat,
DOC_CA_PSKUs,7W0051-221.LN6298C,Linen 1 Moment Flat,
DOC_CA_PSKUs,7W0051-221.LN6298C,"VALUE SERIES LINEN ACRYLIC 48""",
DOC_CA_PSKUs,7W0100-WH4567,White 1 Moment Flat WIT,
